tissue,tf,plus,minus,unknown,total,score,imputed
NEPHRONPROGENITOR,ZNF384,11180,15754,0,26934,-0.16982252914531817,False
NEPHRONPROGENITOR,NFIX,8905,8760,0,17665,0.008208321539767903,False
NEPHRONPROGENITOR,MEIS1,5613,8186,0,13799,-0.18646278715848974,False
NEPHRONPROGENITOR,SOX15,5378,6892,0,12270,-0.12339038304808476,False
NEPHRONPROGENITOR,RHOXF1,6899,6401,0,13300,0.03744360902255639,False
NEPHRONPROGENITOR,GSX1,4920,6168,0,11088,-0.11255411255411256,False
NEPHRONPROGENITOR,SRY,4608,5682,0,10290,-0.1043731778425656,False
NEPHRONPROGENITOR,SHOX,4261,5701,0,9962,-0.1445492872917085,False
NEPHRONPROGENITOR,ISL2,4879,5576,0,10455,-0.06666666666666667,False
NEPHRONPROGENITOR,NFATC3,6245,4495,0,10740,0.16294227188081936,False
NEPHRONPROGENITOR,ALX3,3351,4434,0,7785,-0.13911368015414258,False
NEPHRONPROGENITOR,FOXP3,4249,4255,0,8504,-0.0007055503292568204,False
NEPHRONPROGENITOR,HIC2,5193,4206,0,9399,0.1050111714012129,False
NEPHRONPROGENITOR,NKX6-2,2816,4282,0,7098,-0.20653705269089884,False
NEPHRONPROGENITOR,ZNF354C,4635,4096,0,8731,0.06173405108235024,False
NEPHRONPROGENITOR,HOXA7,2840,3683,0,6523,-0.12923501456385098,False
NEPHRONPROGENITOR,HOXA6,2715,3857,0,6572,-0.17376749847839318,False
NEPHRONPROGENITOR,MEOX2,3190,3182,0,6372,0.0012554927809165098,False
NEPHRONPROGENITOR,HOXA10,2866,3119,0,5985,-0.04227234753550543,False
NEPHRONPROGENITOR,VAX1,2837,3281,0,6118,-0.07257273618829684,False
NEPHRONPROGENITOR,BARHL2,2894,3073,0,5967,-0.029998324115971173,False
NEPHRONPROGENITOR,VAX2,2742,3186,0,5928,-0.07489878542510121,False
NEPHRONPROGENITOR,HOXB3,2333,3151,0,5484,-0.14916119620714807,False
NEPHRONPROGENITOR,GSC2,2212,4018,0,6230,-0.2898876404494382,False
NEPHRONPROGENITOR,MSANTD3,3533,2916,0,6449,0.09567374786788649,False
NEPHRONPROGENITOR,TBX5,3173,2746,0,5919,0.07214056428450752,False
NEPHRONPROGENITOR,NKX2-4,2648,2935,0,5583,-0.05140605409278166,False
NEPHRONPROGENITOR,NR2C1,3284,2602,0,5886,0.11586816173972138,False
NEPHRONPROGENITOR,OTX2,2127,2709,0,4836,-0.12034739454094293,False
NEPHRONPROGENITOR,BARX2,1776,2674,0,4450,-0.20179775280898876,False
NEPHRONPROGENITOR,ZNF354A,1477,2765,0,4242,-0.30363036303630364,False
NEPHRONPROGENITOR,VSX1,1788,2584,0,4372,-0.18206770356816102,False
NEPHRONPROGENITOR,MEIS3,2320,2720,0,5040,-0.07936507936507936,False
NEPHRONPROGENITOR,RBPJ,2842,2144,0,4986,0.13999197753710388,False
NEPHRONPROGENITOR,FOXD3,1656,2547,0,4203,-0.21199143468950749,False
NEPHRONPROGENITOR,MXI1,2465,2292,0,4757,0.03636745848223671,False
NEPHRONPROGENITOR,NKX2-8,1748,2731,0,4479,-0.21946863139093548,False
NEPHRONPROGENITOR,MEF2A,1286,2212,0,3498,-0.26472269868496284,False
NEPHRONPROGENITOR,POU5F1,1518,2091,0,3609,-0.15876974231088944,False
NEPHRONPROGENITOR,SOX9,1293,2584,0,3877,-0.33298942481299976,False
MESOTHELIALEPICARDIUM,ZNF384,5210,9039,0,14249,-0.26872061197277003,False
MESOTHELIALEPICARDIUM,NFIX,4280,4715,0,8995,-0.048360200111172875,False
MESOTHELIALEPICARDIUM,MEIS1,3444,4424,0,7868,-0.12455516014234876,False
MESOTHELIALEPICARDIUM,SOX15,3645,3771,0,7416,-0.01699029126213592,False
MESOTHELIALEPICARDIUM,RHOXF1,2955,3497,0,6452,-0.08400495970241785,False
